image_id,filename,codec,quality,ssim,psnr,msssim,msssim_db,bytes,bpp,perceptual similarity
1,kodim07.png,guetzli,89,0.9598952684869911,36.07729262429408,0.9943203934511748,22.456817487242944,44264,1.350830078125,0.023549210280179977
1,kodim07.png,guetzli,87,0.9544882759797787,35.41881013492991,0.9933431250832058,21.76729603399299,39264,1.1982421875,0.027912382036447525
1,kodim07.png,guetzli,85,0.950528197431291,34.95477631444703,0.9925630810304561,21.286069504301793,36972,1.1282958984375,0.03247620910406113
2,kodim01.png,guetzli,99,0.9909720842263628,40.666802376174246,0.9989014260869254,29.591707180238224,184383,5.626922607421875,0.0030706466641277075
2,kodim01.png,guetzli,97,0.9799728047059154,37.181649072362596,0.9976624735927917,26.31243474170924,150504,4.593017578125,0.005950957536697388
2,kodim01.png,guetzli,95,0.9669125805780565,34.970499514461366,0.9959083626813904,23.881028689743363,112038,3.41912841796875,0.010295705869793892
2,kodim01.png,guetzli,93,0.954276936074204,33.52811962816974,0.9939855859504677,22.208066771272,90346,2.75714111328125,0.01593257673084736
2,kodim01.png,guetzli,91,0.9419434823789272,32.4923111262007,0.9919129960526637,20.922123449064536,76091,2.322113037109375,0.02168688364326954
2,kodim01.png,guetzli,89,0.9297628352299724,31.68980684758484,0.9898147540660293,19.92028480019055,69511,2.121307373046875,0.027164733037352562
2,kodim01.png,guetzli,87,0.9172243942731684,31.019333224400967,0.9874677833468222,19.019721057735513,62295,1.901092529296875,0.0343019925057888
2,kodim01.png,guetzli,85,0.9052588786042248,30.43759150274149,0.9851272912165006,18.27609925722192,57629,1.758697509765625,0.04213268682360649
3,kodim14.png,guetzli,99,0.9887481001545954,40.3209648017979,0.9987535153479538,29.043130645911436,184109,5.618560791015625,0.003848310559988022
3,kodim14.png,guetzli,97,0.9778787165476265,37.35525263192453,0.9974958663668241,26.013424987034917,128589,3.924224853515625,0.00800378993153572
3,kodim14.png,guetzli,95,0.9660781813998547,35.43234814157086,0.9960227184807047,24.004136677644766,106732,3.2572021484375,0.013264719396829605
3,kodim14.png,guetzli,93,0.955507141623603,34.21904070817728,0.9944996651647883,22.59610871840566,90512,2.76220703125,0.0181476678699255
3,kodim14.png,guetzli,91,0.9441429984753169,33.22057514578376,0.9927806284622501,21.41500607079514,78649,2.400177001953125,0.023715298622846603
3,kodim14.png,guetzli,89,0.9340221674028601,32.499392919652806,0.9911079560731196,20.50998400544051,70503,2.151580810546875,0.028599517419934273
3,kodim14.png,guetzli,87,0.9226661227515373,31.769928158483893,0.9892016578200568,19.666429146396787,64738,1.97564697265625,0.03645972162485123
3,kodim14.png,guetzli,85,0.9133018210087617,31.290146086204125,0.9875151441156736,19.036164664486414,59726,1.82269287109375,0.04290318116545677
4,kodim10.png,guetzli,99,0.9863189141056606,43.25718853845651,0.9984293956294708,28.039331983684185,155622,4.74920654296875,0.002676136791706085
