image_id,filename,codec,quality,ssim,psnr,msssim,msssim_db,bytes,bpp
1,md02d5ad379e.png,jpeg,60,0.818900446907394,34.967298528684246,0.9688232504415828,15.061691656843422,24477,0.746978759765625
1,md02d5ad379e.png,jpeg,55,0.8089375321843949,34.74855534015934,0.9659716941024162,14.6815967175771,21525,0.656890869140625
1,md02d5ad379e.png,jpeg,50,0.8003759438763972,34.54458448290107,0.9631665749936401,14.337578958015186,19364,0.5909423828125
1,md02d5ad379e.png,jpeg,45,0.7915311761528502,34.360481154451946,0.9600369581714517,13.983414624111301,17445,0.532379150390625
1,md02d5ad379e.png,jpeg,40,0.7814667458258925,34.1327857392414,0.9566751357037933,13.632627889256641,15524,0.4737548828125
1,md02d5ad379e.png,jpeg,35,0.7718535714620666,33.90678851276855,0.9527181081706964,13.2530515491466,14055,0.428924560546875
1,md02d5ad379e.png,jpeg,30,0.7611300195985508,33.65733452947546,0.9481021791417487,12.848508773944218,12593,0.384307861328125
1,md02d5ad379e.png,jpeg,25,0.7486769580973052,33.29832276490209,0.9415408854306062,12.331477668187894,11404,0.3480224609375
1,md02d5ad379e.png,jpeg,20,0.7303541403339949,32.766339200030956,0.9321735432331727,11.68600869752134,10412,0.3177490234375
1,md02d5ad379e.png,jpeg,15,0.7102687008422531,32.078073892460274,0.9197816308353721,10.95726171449391,9538,0.29107666015625
1,md02d5ad379e.png,jpeg,10,0.6703009575447391,30.53023194065155,0.8904196192608544,9.60267194934137,8752,0.26708984375
2,md03780c491b.png,jpeg,95,0.9583230353120099,39.09024066801958,0.995688049573382,23.65326240764267,162161,4.948760986328125
2,md03780c491b.png,jpeg,90,0.929636505825497,36.861324211979316,0.9914522039870892,20.681458505140856,102599,3.131072998046875
2,md03780c491b.png,jpeg,85,0.9103225059790786,35.84330885195112,0.987985475527023,19.20293413611555,77864,2.376220703125
2,md03780c491b.png,jpeg,80,0.8958549952377259,35.202169957475164,0.9851720613376318,18.289192191524634,63979,1.952484130859375
2,md03780c491b.png,jpeg,75,0.8836939255406424,34.70549567017993,0.9825180316021079,17.57409669172222,54408,1.660400390625
2,md03780c491b.png,jpeg,70,0.8736075234349898,34.32687412356807,0.9801665009546725,17.02600660377466,48295,1.473846435546875
2,md03780c491b.png,jpeg,65,0.8627228006220413,33.941593622746524,0.9775726372633304,16.49221792678764,42912,1.3095703125
2,md03780c491b.png,jpeg,60,0.8534734188517924,33.6376646900793,0.975068255301945,16.0324732894808,38569,1.177032470703125
2,md03780c491b.png,jpeg,55,0.8443705784923535,33.351700801931734,0.9724400662651866,15.597218309821004,34964,1.0670166015625
2,md03780c491b.png,jpeg,50,0.8352768989420376,33.08276880739429,0.9699671689321814,15.224037267694168,32036,0.9776611328125
2,md03780c491b.png,jpeg,45,0.8258191074175016,32.83355567842057,0.9670830332959279,14.825801918187643,29299,0.894134521484375
